H_mm;R_mm;diameter_mm;volume_mL;g_reduced_m_s2;Ra_H;Ra_diameter;Ra_radius;Ra_min;U_fast_m_s;U_slow_m_s;t95_fast_s;t95_slow_s;t_spec_diff_0p50_pctO2_s;t_spec_fast_0p50_pctO2_s;t_spec_slow_0p50_pctO2_s;recommended_max_delay_0p50_pctO2_s;t_spec_diff_1p00_pctO2_s;t_spec_fast_1p00_pctO2_s;t_spec_slow_1p00_pctO2_s;recommended_max_delay_1p00_pctO2_s;t_spec_diff_2p00_pctO2_s;t_spec_fast_2p00_pctO2_s;t_spec_slow_2p00_pctO2_s;recommended_max_delay_2p00_pctO2_s
45.0;9.0;18.0;11.451105222334794;0.33354000000000006;101312.775;6484.017599999998;810.5021999999998;810.5021999999998;0.003874183785005559;0.0007748367570011119;34.84604951435114;580.7674919058521;0.04529568870306608;0.28097735956815906;4.68295599280265;0.02264784435153304;0.1811827548122672;0.5689103059810595;9.481838433017657;0.0905913774061336;0.7247310192490743;1.167083077542534;19.451384625708894;0.3623655096245372
45.0;12.0;24.0;20.357520395261858;0.33354000000000006;101312.775;15369.5232;1921.1904;1921.1904;0.004473522102326087;0.0008947044204652173;30.177564100958477;502.9594016826412;0.04529568870306608;0.2433335312743003;4.055558854571671;0.02264784435153304;0.1811827548122672;0.49269077745437556;8.211512957572925;0.0905913774061336;0.7247310192490743;1.0107235934787582;16.845393224645967;0.3623655096245372
45.0;15.0;30.0;31.808625617596654;0.33354000000000006;101312.775;30018.6;3752.325;3752.325;0.005001549759824449;0.0010003099519648897;26.991633890040198;449.86056483400324;0.04529568870306608;0.21764412685376264;3.627402114229376;0.02264784435153304;0.1811827548122672;0.4406760281100819;7.344600468501363;0.0905913774061336;0.7247310192490743;0.9040186645925468;15.066977743209106;0.3623655096245372
45.0;18.0;36.0;45.80442088933918;0.33354000000000006;101312.775;51872.14079999999;6484.017599999998;6484.017599999998;0.005478923251880793;0.0010957846503761586;24.639877909159885;410.6646318193314;0.04529568870306608;0.19868099631053607;3.3113499385089344;0.02264784435153304;0.1811827548122672;0.4022803352461208;6.704672254102013;0.0905913774061336;0.7247310192490743;0.8252523583383908;13.754205972306513;0.3623655096245372
50.0;9.0;18.0;12.723450247038661;0.33354000000000006;138975.00000000003;6484.017599999998;810.5021999999998;810.5021999999998;0.003874183785005559;0.0007748367570011119;38.71783279372349;645.2972132287247;0.05592060333711864;0.31219706618684345;5.203284436447389;0.02796030166855932;0.2236824133484781;0.6321225622011774;10.535376036686287;0.11184120667423905;0.8947296533939191;1.2967589750472601;21.612649584120998;0.44736482669695954
50.0;12.0;24.0;22.61946710584651;0.33354000000000006;138975.00000000003;15369.5232;1921.1904;1921.1904;0.004473522102326087;0.0008947044204652173;33.53062677884276;558.8437796473792;0.05592060333711864;0.27037059030477817;4.506176505079634;0.02796030166855932;0.2236824133484781;0.5474341971715284;9.123903286192139;0.11184120667423905;0.8947296533939191;1.123026214976398;18.717103582939963;0.44736482669695954
50.0;15.0;30.0;35.34291735288517;0.33354000000000006;138975.00000000003;30018.6;3752.325;3752.325;0.005001549759824449;0.0010003099519648897;29.99070432226689;499.84507203778145;0.05592060333711864;0.24182680761529182;4.030446793588197;0.02796030166855932;0.2236824133484781;0.4896400312334243;8.160667187223739;0.11184120667423905;0.8947296533939191;1.0044651828806075;16.741086381343457;0.44736482669695954
50.0;18.0;36.0;50.893800988154645;0.33354000000000006;138975.00000000003;51872.14079999999;6484.017599999998;6484.017599999998;0.005478923251880793;0.0010957846503761586;27.377642121288766;456.2940353548127;0.05592060333711864;0.22075666256726237;3.6792777094543725;0.02796030166855932;0.2236824133484781;0.44697815027346766;7.449635837891127;0.11184120667423905;0.8947296533939191;0.9169470648204345;15.282451080340573;0.44736482669695954
55.0;9.0;18.0;13.995795271742526;0.33354000000000006;184975.725;6484.017599999998;810.5021999999998;810.5021999999998;0.003874183785005559;0.0007748367570011119;42.58961607309583;709.8269345515972;0.06766393003791352;0.34341677280552774;5.723612880092129;0.03383196501895676;0.2706557201516584;0.6953348184212951;11.588913640354917;0.1353278600758292;1.082622880606642;1.426434872551986;23.7739145425331;0.541311440303321
55.0;12.0;24.0;24.881413816431163;0.33354000000000006;184975.725;15369.5232;1921.1904;1921.1904;0.004473522102326087;0.0008947044204652173;36.883689456727026;614.7281576121171;0.06766393003791352;0.2974076493352559;4.956794155587598;0.03383196501895676;0.2706557201516584;0.6021776168886811;10.036293614811353;0.1353278600758292;1.082622880606642;1.2353288364740376;20.58881394123396;0.541311440303321
55.0;15.0;30.0;38.877209088173686;0.33354000000000006;184975.725;30018.6;3752.325;3752.325;0.005001549759824449;0.0010003099519648897;32.989774754493574;549.8295792415596;0.06766393003791352;0.266009488376821;4.433491472947017;0.03383196501895676;0.2706557201516584;0.5386040343567667;8.976733905946112;0.1353278600758292;1.082622880606642;1.1049117011686682;18.4151950194778;0.541311440303321
55.0;18.0;36.0;55.983181086970106;0.33354000000000006;184975.725;51872.14079999999;6484.017599999998;6484.017599999998;0.005478923251880793;0.0010957846503761586;30.11540633341764;501.92343889029405;0.06766393003791352;0.24283232882398853;4.04720548039981;0.03383196501895676;0.2706557201516584;0.4916759653008143;8.19459942168024;0.1353278600758292;1.082622880606642;1.0086417713024778;16.81069618837463;0.5043208856512389
61.0;9.0;18.0;15.522609301387165;0.33354000000000006;252357.47580000001;6484.017599999998;810.5021999999998;810.5021999999998;0.003874183785005559;0.0007748367570011119;47.23575600834265;787.2626001390441;0.08323222600696734;0.38088042074794887;6.348007012465814;0.04161611300348367;0.3329289040278747;0.7711895258854362;12.85315876475727;0.16646445201393734;1.331715616111509;1.5820459495576569;26.367432492627614;0.6658578080557545
61.0;12.0;24.0;27.595749869132742;0.33354000000000006;252357.47580000001;15369.5232;1921.1904;1921.1904;0.004473522102326087;0.0008947044204652173;40.90736467018816;681.7894111698026;0.08323222600696734;0.3298521201718293;5.497535336197155;0.04161611300348367;0.3329289040278747;0.6678697205492646;11.13116200915441;0.16646445201393734;1.331715616111509;1.3700919822712054;22.834866371186756;0.6658578080557545
61.0;15.0;30.0;43.11835917051991;0.33354000000000006;252357.47580000001;30018.6;3752.325;3752.325;0.005001549759824449;0.0010003099519648897;36.5886592731656;609.8109878860934;0.08323222600696734;0.29502870529065595;4.9171450881776;0.04161611300348367;0.3329289040278747;0.5973608381047775;9.956013968412961;0.16646445201393734;1.331715616111509;1.2254475231143407;20.424125385239016;0.6127237615571703
61.0;18.0;36.0;62.09043720554866;0.33354000000000006;252357.47580000001;51872.14079999999;6484.017599999998;6484.017599999998;0.005478923251880793;0.0010957846503761586;33.40072338797229;556.6787231328715;0.08323222600696734;0.26932312833206007;4.488718805534334;0.04161611300348367;0.3329289040278747;0.5453133433336305;9.088555722227174;0.16646445201393734;1.331715616111509;1.11867541908093;18.6445903180155;0.559337709540465
